File      ,14-00-46.CSV,,,,,,,,,
Site Name      ,HUTHL-A,,,,,,,,,
Start,12/03/2024 14:00,,,,,,,,,
Stop,13/03/2024 09:31,,,,,,,,,
Pipe Material,Cast Iron,,,,,,,,,
Pipe O.D.     ,173,mm,,,,,,,,
Wall Thickness     ,8.5,mm,,,,,,,,
Pipe Liner,None,,,,,,,,,
Liner Thickness     ,0,mm,,,,,,,,
Fluid      ,Water,,,,,,,,,
Averaging,30,s,,,,,,,,
Interval,60,s,,,,,,,,
Records,1172,,,,,,,,,
FlowMin,0,,,,,,,,,
FlowMax,12.161,,,,,,,,,
AmplitudeMin,0,,,,,,,,,
AmplitudeMax,0.03,,,,,,,,,
Sound SpeedMin,0,,,,,,,,,
Sound SpeedMax,1444.522,,,,,,,,,
Errors,46,,,,,,,,,
Last Error,1,,,,,,,,,
                                                                                                      ,V01,5,100,2,6,8,9,21/07/2023 12:54,0,0
Date[Day/Month/Year] Time[Hour:Min:Secs],Flow[l/s],Sound Speed[m/s],+ve Totaliser[l],-ve Totaliser[l],,,,,,
28/11/2023 16:43:00,179.46,1443.27,36185.5,0,,,,,,
28/11/2023 16:44:00,178.53,1443.27,36185.5,0,,,,,,
28/11/2023 16:45:00,181.46,1443.27,36185.5,0,,,,,,
28/11/2023 16:46:00,180.37,1443.3,36185.5,0,,,,,,
28/11/2023 16:47:00,178.32,1443.26,36185.5,0,,,,,,
28/11/2023 16:48:00,186.23,1443.23,36185.5,0,,,,,,
28/11/2023 16:49:00,183.58,1443.23,36185.5,0,,,,,,
28/11/2023 16:50:00,181.61,1443.21,36185.5,0,,,,,,
28/11/2023 16:51:00,183.79,1443.21,36185.5,0,,,,,,
28/11/2023 16:52:00,179.64,1443.17,36185.5,0,,,,,,
28/11/2023 16:53:00,181.29,1443.18,36185.5,0,,,,,,
28/11/2023 16:54:00,175.81,1443.18,36185.5,0,,,,,,
28/11/2023 16:55:00,181.24,1443.16,36185.5,0,,,,,,
28/11/2023 16:56:00,183.85,1443.16,36185.5,0,,,,,,
28/11/2023 16:57:00,184.56,1443.14,36185.5,0,,,,,,
28/11/2023 16:58:00,182.76,1443.13,36185.5,0,,,,,,
28/11/2023 16:59:00,179.85,1443.13,36185.5,0,,,,,,
28/11/2023 17:00:00,179.63,1443.12,36185.5,0,,,,,,
28/11/2023 17:01:00,182.23,1443.11,36185.5,0,,,,,,
28/11/2023 17:02:00,183.74,1443.1,36185.5,0,,,,,,
28/11/2023 17:03:00,188.83,1443.09,36185.5,0,,,,,,
28/11/2023 17:04:00,181.53,1443.09,36185.5,0,,,,,,
28/11/2023 17:05:00,185.25,1443.07,36185.5,0,,,,,,
28/11/2023 17:06:00,181.33,1443.08,36185.5,0,,,,,,
28/11/2023 17:07:00,183.55,1443.06,36185.5,0,,,,,,
28/11/2023 17:08:00,186.33,1443.09,36185.5,0,,,,,,
28/11/2023 17:09:00,185.62,1443.07,36185.5,0,,,,,,
28/11/2023 17:10:00,186.15,1443.04,36185.5,0,,,,,,
28/11/2023 17:11:00,182.62,1443.04,36185.5,0,,,,,,
28/11/2023 17:12:00,185.71,1443.03,36185.5,0,,,,,,
28/11/2023 17:13:00,187.93,1443.02,36185.5,0,,,,,,
28/11/2023 17:14:00,182.42,1442.99,36185.5,0,,,,,,
28/11/2023 17:15:00,184.69,1442.99,36185.5,0,,,,,,
28/11/2023 17:16:00,183.66,1442.96,36185.5,0,,,,,,
28/11/2023 17:17:00,180.32,1442.95,36185.5,0,,,,,,
28/11/2023 17:18:00,185.71,1442.92,36185.5,0,,,,,,
28/11/2023 17:19:00,183.84,1442.92,36185.5,0,,,,,,
28/11/2023 17:20:00,185.96,1442.9,36185.5,0,,,,,,
28/11/2023 17:21:00,184.20,1442.89,36185.5,0,,,,,,
28/11/2023 17:22:00,184.71,1442.89,36185.5,0,,,,,,
28/11/2023 17:23:00,181.75,1442.88,36185.5,0,,,,,,
28/11/2023 17:24:00,187.25,1442.87,36185.5,0,,,,,,
28/11/2023 17:25:00,184.65,1442.87,36185.5,0,,,,,,
28/11/2023 17:26:00,184.20,1442.85,36185.5,0,,,,,,
28/11/2023 17:27:00,183.67,1442.85,36185.5,0,,,,,,
28/11/2023 17:28:00,186.52,1442.84,36185.5,0,,,,,,
28/11/2023 17:29:00,185.03,1442.81,36185.5,0,,,,,,
28/11/2023 17:30:00,181.70,1442.83,36185.5,0,,,,,,
28/11/2023 17:31:00,184.66,1442.83,36185.5,0,,,,,,
28/11/2023 17:32:00,184.06,1442.8,36185.5,0,,,,,,
28/11/2023 17:33:00,184.49,1442.79,36185.5,0,,,,,,
28/11/2023 17:34:00,182.49,1442.78,36185.5,0,,,,,,
28/11/2023 17:35:00,187.69,1442.77,36185.5,0,,,,,,
28/11/2023 17:36:00,185.31,1442.75,36185.5,0,,,,,,
28/11/2023 17:37:00,183.41,1442.76,36185.5,0,,,,,,
28/11/2023 17:38:00,183.57,1442.76,36185.5,0,,,,,,
28/11/2023 17:39:00,182.62,1442.73,36185.5,0,,,,,,
28/11/2023 17:40:00,184.83,1442.73,36185.5,0,,,,,,
28/11/2023 17:41:00,178.65,1442.73,36185.5,0,,,,,,
28/11/2023 17:42:00,186.32,1442.73,36185.5,0,,,,,,
28/11/2023 17:43:00,183.46,1442.7,36185.5,0,,,,,,
28/11/2023 17:44:00,186.79,1442.7,36185.5,0,,,,,,
28/11/2023 17:45:00,183.49,1442.68,36185.5,0,,,,,,
28/11/2023 17:46:00,183.12,1442.67,36185.5,0,,,,,,
28/11/2023 17:47:00,183.29,1442.65,36185.5,0,,,,,,
28/11/2023 17:48:00,188.28,1442.65,36185.5,0,,,,,,
28/11/2023 17:49:00,181.45,1442.65,36185.5,0,,,,,,
28/11/2023 17:50:00,180.38,1442.64,36185.5,0,,,,,,
28/11/2023 17:51:00,185.96,1442.63,36185.5,0,,,,,,
28/11/2023 17:52:00,183.41,1442.62,36185.5,0,,,,,,
28/11/2023 17:53:00,185.84,1442.61,36185.5,0,,,,,,
28/11/2023 17:54:00,185.69,1442.61,36185.5,0,,,,,,
28/11/2023 17:55:00,183.48,1442.59,36185.5,0,,,,,,
28/11/2023 17:56:00,180.95,1442.57,36185.5,0,,,,,,
28/11/2023 17:57:00,182.10,1442.57,36185.5,0,,,,,,
28/11/2023 17:58:00,185.74,1442.56,36185.5,0,,,,,,
28/11/2023 17:59:00,182.44,1442.53,36185.5,0,,,,,,
28/11/2023 18:00:00,187.17,1442.53,36185.5,0,,,,,,
28/11/2023 18:01:00,184.36,1442.52,36185.5,0,,,,,,
28/11/2023 18:02:00,180.90,1442.5,36185.5,0,,,,,,
28/11/2023 18:03:00,181.44,1442.5,36185.5,0,,,,,,
28/11/2023 18:04:00,186.23,1442.51,36185.5,0,,,,,,
28/11/2023 18:05:00,183.72,1442.48,36185.5,0,,,,,,
28/11/2023 18:06:00,180.15,1442.47,36185.5,0,,,,,,
28/11/2023 18:07:00,183.29,1442.47,36185.5,0,,,,,,
28/11/2023 18:08:00,182.48,1442.45,36185.5,0,,,,,,
28/11/2023 18:09:00,184.82,1442.46,36185.5,0,,,,,,
28/11/2023 18:10:00,185.92,1442.44,36185.5,0,,,,,,
28/11/2023 18:11:00,183.80,1442.45,36185.5,0,,,,,,
28/11/2023 18:12:00,183.17,1442.43,36185.5,0,,,,,,
28/11/2023 18:13:00,183.62,1442.4,36185.5,0,,,,,,
28/11/2023 18:14:00,184.00,1442.41,36185.5,0,,,,,,
